transport_type,daily_distance_km,travel_days_per_week,electricity_kwh_month,diet_type,food_waste_frequency,waste_kg_week,recycling_frequency,flights_per_year,total_carbon_tonnes
Car,30.8,4,578.0,Vegetarian,Sometimes,5.3,Never,6+,7.0637
Train,31.6,4,503.0,Mixed,Sometimes,16.8,Sometimes,0,4.6334
Car,22.9,5,367.0,Non-Vegetarian,Often,8.6,Never,1-2,5.1341
Car,46.4,6,548.0,Mixed,Sometimes,14.1,Sometimes,1-2,7.2449
Train,15.9,5,575.0,Non-Vegetarian,Often,19.6,Often,3-5,6.3937
Train,24.6,5,102.0,Non-Vegetarian,Often,6.8,Often,0,2.8438
Bicycle,7.4,5,125.0,Vegetarian,Often,8.9,Never,1-2,2.1148
Motorcycle,79.8,4,515.0,Non-Vegetarian,Often,8.1,Sometimes,3-5,7.919
Motorcycle,71.2,4,464.0,Vegan,Sometimes,3.3,Often,1-2,5.0961
Motorcycle,6.1,7,563.0,Non-Vegetarian,Sometimes,12.5,Sometimes,0,5.7447
Train,38.1,6,460.0,Mixed,Sometimes,1.6,Sometimes,1-2,4.1851
Train,8.3,4,553.0,Mixed,Sometimes,5.3,Often,6+,6.8003
Walking,6.7,6,556.0,Non-Vegetarian,Rarely,10.5,Often,0,4.786
Car,16.4,4,253.0,Mixed,Sometimes,8.0,Often,0,3.6272
Car,24.2,6,249.0,Non-Vegetarian,Sometimes,4.5,Often,0,4.9583
Car,49.3,5,396.0,Vegetarian,Rarely,17.2,Sometimes,0,5.491
Car,64.7,3,427.0,Mixed,Sometimes,12.1,Sometimes,1-2,6.3245
Car,6.2,4,426.0,Vegetarian,Sometimes,9.9,Never,6+,6.3471
Electric Vehicle,21.0,4,330.0,Mixed,Rarely,12.7,Often,3-5,4.1025
Bus,33.3,4,136.0,Non-Vegetarian,Sometimes,11.8,Never,0,3.4924
Walking,1.4,2,247.0,Non-Vegetarian,Sometimes,10.3,Sometimes,0,3.4888
Electric Vehicle,60.5,3,255.0,Vegetarian,Sometimes,7.0,Never,6+,5.471
Motorcycle,65.5,4,358.0,Non-Vegetarian,Rarely,5.0,Often,1-2,5.4424
Electric Vehicle,17.8,5,327.0,Non-Vegetarian,Sometimes,5.5,Often,0,3.636
Car,35.6,6,424.0,Non-Vegetarian,Rarely,14.5,Never,3-5,6.8558
Bus,6.6,3,539.0,Mixed,Sometimes,9.5,Never,3-5,5.3897
Car,9.5,7,221.0,Vegetarian,Rarely,11.2,Sometimes,0,3.0536
Car,7.4,7,457.0,Non-Vegetarian,Rarely,15.3,Sometimes,0,4.9977
Motorcycle,5.7,7,361.0,Non-Vegetarian,Rarely,18.8,Sometimes,0,3.977
Motorcycle,5.9,7,376.0,Non-Vegetarian,Sometimes,10.2,Never,0,4.4663
Bicycle,6.4,5,552.0,Non-Vegetarian,Sometimes,6.1,Sometimes,3-5,5.8753
Walking,5.5,6,226.0,Vegetarian,Sometimes,11.1,Never,0,2.517
Train,32.5,5,249.0,Mixed,Sometimes,10.0,Often,0,2.8869
Motorcycle,13.6,4,299.0,Non-Vegetarian,Sometimes,9.5,Often,0,3.855
Motorcycle,15.6,6,182.0,Non-Vegetarian,Rarely,15.1,Often,0,3.1184
Walking,4.6,2,255.0,Non-Vegetarian,Sometimes,4.7,Often,1-2,3.4594
Car,59.7,4,428.0,Mixed,Often,6.5,Sometimes,0,5.9046
Car,34.3,6,147.0,Non-Vegetarian,Sometimes,1.0,Often,0,4.6873
Car,27.4,3,256.0,Non-Vegetarian,Sometimes,12.4,Often,3-5,4.6527
Car,74.2,5,314.0,Mixed,Sometimes,8.2,Often,0,6.505
Car,33.3,7,479.0,Non-Vegetarian,Rarely,11.3,Sometimes,1-2,7.0311
Train,17.9,4,430.0,Vegetarian,Sometimes,19.5,Often,0,4.2672
Train,27.5,4,315.0,Vegetarian,Sometimes,5.2,Never,6+,4.8223
Car,60.7,4,368.0,Vegetarian,Sometimes,3.4,Never,1-2,5.702
Bus,19.5,7,475.0,Mixed,Sometimes,17.1,Sometimes,1-2,5.2732
Bus,30.0,7,411.0,Mixed,Sometimes,6.4,Often,1-2,5.175
Electric Vehicle,13.0,3,111.0,Non-Vegetarian,Sometimes,7.4,Sometimes,1-2,2.8639
Car,51.5,3,597.0,Mixed,Rarely,2.5,Sometimes,3-5,7.3355
Car,69.6,3,596.0,Non-Vegetarian,Rarely,12.3,Often,0,6.6022
Motorcycle,66.3,6,107.0,Non-Vegetarian,Sometimes,5.1,Often,1-2,5.3664
Car,69.0,7,407.0,Mixed,Rarely,11.1,Often,1-2,9.1466
Car,20.5,3,325.0,Non-Vegetarian,Sometimes,4.6,Often,0,3.9346
Bicycle,3.7,2,491.0,Non-Vegetarian,Sometimes,17.4,Sometimes,1-2,5.3822
Bicycle,0.8,7,381.0,Vegetarian,Sometimes,4.1,Sometimes,0,3.0106
Car,57.1,4,424.0,Mixed,Sometimes,16.8,Never,3-5,7.1517
Electric Vehicle,21.3,4,130.0,Non-Vegetarian,Often,7.5,Sometimes,0,3.2853
Car,46.8,3,396.0,Mixed,Often,16.8,Often,3-5,5.7718
Electric Vehicle,72.8,3,500.0,Mixed,Sometimes,8.7,Never,1-2,4.959
Car,24.4,4,448.0,Non-Vegetarian,Sometimes,2.8,Sometimes,3-5,6.2729
Train,3.3,6,379.0,Non-Vegetarian,Sometimes,15.7,Often,1-2,4.0618
Motorcycle,64.1,7,306.0,Non-Vegetarian,Often,1.6,Often,1-2,6.9051
Electric Vehicle,57.7,6,316.0,Mixed,Rarely,13.4,Often,0,4.0389
Electric Vehicle,21.2,7,309.0,Mixed,Sometimes,10.1,Never,1-2,4.0254
Car,27.0,3,438.0,Vegetarian,Rarely,4.3,Never,3-5,4.9286
Bus,32.3,4,496.0,Vegetarian,Sometimes,5.7,Often,1-2,5.0591
Car,6.1,7,105.0,Mixed,Sometimes,4.2,Often,1-2,2.6755
Electric Vehicle,7.3,5,185.0,Mixed,Sometimes,14.3,Sometimes,1-2,2.9147
Bicycle,7.5,2,418.0,Non-Vegetarian,Sometimes,19.6,Sometimes,0,4.2427
Car,42.1,4,392.0,Non-Vegetarian,Rarely,4.7,Never,0,5.3307
Train,14.1,5,595.0,Non-Vegetarian,Sometimes,10.7,Often,0,5.8715
Walking,0.7,3,225.0,Non-Vegetarian,Sometimes,15.2,Sometimes,0,3.4414
Train,9.5,6,260.0,Non-Vegetarian,Sometimes,18.8,Sometimes,0,3.7355
Car,33.8,7,188.0,Mixed,Sometimes,11.3,Often,1-2,5.3367
Car,51.6,4,481.0,Non-Vegetarian,Sometimes,13.0,Never,0,6.65
Bicycle,2.5,3,161.0,Non-Vegetarian,Sometimes,12.5,Often,0,2.8198
Bus,6.8,7,260.0,Mixed,Sometimes,1.7,Sometimes,3-5,3.8501
Car,47.2,6,569.0,Mixed,Sometimes,7.5,Sometimes,0,7.3008
Electric Vehicle,6.6,5,140.0,Mixed,Sometimes,18.2,Sometimes,1-2,2.716
Electric Vehicle,41.0,3,187.0,Non-Vegetarian,Often,17.6,Sometimes,0,3.896
Car,12.2,6,273.0,Vegan,Sometimes,16.2,Sometimes,0,3.2244
Car,15.2,7,572.0,Non-Vegetarian,Sometimes,6.4,Often,1-2,5.789
Train,22.1,6,286.0,Non-Vegetarian,Sometimes,5.9,Never,3-5,4.052
Train,35.3,6,371.0,Vegetarian,Sometimes,9.4,Never,0,3.7387
Bicycle,6.5,4,488.0,Mixed,Often,9.5,Sometimes,1-2,4.6167
Car,53.9,3,349.0,Non-Vegetarian,Often,14.0,Sometimes,1-2,6.4214
Car,71.5,4,162.0,Non-Vegetarian,Often,8.0,Often,6+,7.6088
Electric Vehicle,79.4,5,228.0,Mixed,Sometimes,15.8,Sometimes,3-5,4.6551
Walking,2.2,4,221.0,Vegetarian,Sometimes,18.1,Often,3-5,2.9821
Bicycle,4.9,4,491.0,Vegetarian,Often,17.0,Sometimes,6+,6.3502
Bicycle,2.3,4,529.0,Mixed,Sometimes,4.3,Sometimes,3-5,4.6963
Train,31.1,4,335.0,Non-Vegetarian,Sometimes,15.2,Often,3-5,4.746
Train,10.2,7,243.0,Vegan,Often,1.4,Never,3-5,2.8372
Train,6.1,7,407.0,Vegan,Sometimes,18.5,Often,0,3.3173
Electric Vehicle,58.1,6,243.0,Non-Vegetarian,Sometimes,17.9,Sometimes,1-2,4.7896
Motorcycle,24.0,5,166.0,Non-Vegetarian,Sometimes,15.8,Sometimes,3-5,4.4556
Car,12.9,3,421.0,Vegetarian,Sometimes,9.4,Sometimes,1-2,4.3626
Bus,11.1,3,537.0,Non-Vegetarian,Often,9.8,Often,0,4.9095
Motorcycle,15.2,4,569.0,Non-Vegetarian,Sometimes,1.8,Often,6+,7.7536
Electric Vehicle,24.9,6,581.0,Mixed,Sometimes,14.0,Often,6+,6.9548
Electric Vehicle,58.5,4,373.0,Mixed,Sometimes,9.7,Sometimes,3-5,5.423
Car,34.2,6,357.0,Non-Vegetarian,Sometimes,3.9,Often,1-2,6.1718
Bus,6.0,7,295.0,Vegetarian,Rarely,7.0,Sometimes,0,2.8482
Train,32.2,3,364.0,Non-Vegetarian,Rarely,8.8,Sometimes,3-5,4.6211
Car,60.9,5,239.0,Non-Vegetarian,Often,7.3,Often,0,6.4247
Car,55.8,6,286.0,Vegan,Sometimes,18.4,Often,3-5,6.7353
Car,40.0,7,455.0,Vegetarian,Sometimes,16.5,Sometimes,3-5,7.1123
Car,56.7,7,326.0,Non-Vegetarian,Sometimes,7.0,Never,1-2,8.2705
Bicycle,2.9,3,462.0,Non-Vegetarian,Often,8.6,Never,3-5,5.3551
Car,53.2,6,331.0,Non-Vegetarian,Sometimes,9.8,Sometimes,0,7.0325
Train,31.9,6,351.0,Vegetarian,Sometimes,15.1,Often,0,3.3165
Motorcycle,44.5,7,87.0,Mixed,Sometimes,14.1,Never,0,4.2184
Bicycle,4.2,4,520.0,Non-Vegetarian,Often,13.9,Often,1-2,5.5217
Car,10.0,3,343.0,Non-Vegetarian,Sometimes,6.8,Often,0,4.0045
Train,6.3,6,453.0,Non-Vegetarian,Rarely,9.6,Often,3-5,5.2808
Car,12.7,4,554.0,Non-Vegetarian,Sometimes,13.3,Often,6+,7.5435
Bus,30.7,6,277.0,Mixed,Often,10.1,Never,0,4.3901
Bus,10.0,4,245.0,Non-Vegetarian,Sometimes,18.9,Sometimes,0,3.8346
Electric Vehicle,31.2,7,565.0,Mixed,Sometimes,4.2,Never,1-2,5.218
Walking,0.9,6,337.0,Mixed,Sometimes,19.5,Often,6+,5.9689
Bus,16.9,5,494.0,Mixed,Often,3.1,Sometimes,3-5,5.7653
Electric Vehicle,12.3,4,221.0,Mixed,Sometimes,11.4,Often,0,3.0023
Car,19.7,7,86.0,Non-Vegetarian,Sometimes,5.9,Often,6+,5.9348
Car,50.6,5,366.0,Mixed,Sometimes,15.5,Never,1-2,7.2101
Electric Vehicle,18.0,7,223.0,Non-Vegetarian,Rarely,2.7,Never,3-5,4.0965
Car,53.1,5,158.0,Vegetarian,Rarely,5.2,Never,3-5,5.3511
Car,38.7,7,98.0,Mixed,Often,12.7,Often,1-2,5.0704
Walking,2.9,5,458.0,Mixed,Sometimes,16.2,Sometimes,3-5,4.8378
Car,46.9,4,379.0,Vegetarian,Sometimes,12.7,Often,0,5.2504
Bicycle,7.5,7,492.0,Vegan,Often,18.4,Often,6+,6.0087
Motorcycle,51.2,3,82.0,Mixed,Often,14.3,Sometimes,0,3.1646
Bicycle,3.5,3,280.0,Non-Vegetarian,Rarely,14.1,Often,1-2,3.4774
Electric Vehicle,35.2,6,510.0,Non-Vegetarian,Sometimes,3.8,Sometimes,1-2,5.019
Bicycle,6.1,2,240.0,Non-Vegetarian,Sometimes,13.0,Often,6+,5.2471
Motorcycle,14.7,4,353.0,Non-Vegetarian,Sometimes,4.0,Never,6+,5.8006
Car,30.5,6,454.0,Non-Vegetarian,Rarely,9.8,Never,1-2,5.8458
Car,30.1,3,232.0,Mixed,Often,16.3,Never,6+,6.8533
Motorcycle,65.5,3,208.0,Vegan,Often,16.8,Sometimes,1-2,3.4093
Motorcycle,27.5,6,195.0,Mixed,Sometimes,19.6,Often,0,3.5128
Car,42.7,7,328.0,Non-Vegetarian,Often,5.9,Never,6+,8.88
Car,68.1,6,493.0,Non-Vegetarian,Sometimes,11.1,Often,1-2,9.2867
Bicycle,7.3,6,393.0,Non-Vegetarian,Sometimes,13.5,Never,1-2,4.3975
Electric Vehicle,15.4,7,63.0,Vegetarian,Rarely,14.8,Never,0,1.9447
Train,27.6,6,546.0,Vegetarian,Sometimes,1.3,Sometimes,0,4.2219
Car,59.1,5,521.0,Non-Vegetarian,Often,15.5,Often,1-2,8.9316
Car,49.2,3,193.0,Mixed,Sometimes,19.2,Sometimes,1-2,4.4092
Bus,24.8,3,577.0,Non-Vegetarian,Sometimes,2.1,Sometimes,3-5,6.5049
Bus,32.9,5,525.0,Mixed,Sometimes,12.9,Often,1-2,5.8591
Walking,3.3,7,132.0,Mixed,Sometimes,13.6,Often,1-2,2.53
Electric Vehicle,58.8,3,468.0,Vegetarian,Sometimes,5.7,Sometimes,1-2,4.3217
Bus,15.7,7,450.0,Non-Vegetarian,Often,10.2,Sometimes,1-2,6.2879
Car,65.1,4,314.0,Non-Vegetarian,Sometimes,7.2,Sometimes,0,6.318
Car,31.8,4,95.0,Non-Vegetarian,Often,14.0,Often,1-2,4.421
Train,13.2,6,581.0,Vegetarian,Sometimes,14.4,Sometimes,1-2,5.1292
Bicycle,7.9,3,286.0,Non-Vegetarian,Rarely,15.2,Never,1-2,3.6588
Car,51.0,5,483.0,Vegetarian,Sometimes,13.2,Sometimes,0,6.4673
Motorcycle,44.7,6,181.0,Mixed,Often,1.9,Often,0,4.0588
Electric Vehicle,34.7,4,510.0,Vegetarian,Sometimes,11.9,Often,0,4.3404
Electric Vehicle,15.8,7,204.0,Non-Vegetarian,Sometimes,6.8,Often,0,3.1039
Bus,22.2,5,290.0,Non-Vegetarian,Often,16.3,Often,6+,6.7427
Car,64.5,4,550.0,Non-Vegetarian,Rarely,17.2,Often,1-2,7.7489
Bus,17.8,6,107.0,Non-Vegetarian,Sometimes,8.9,Never,0,3.3536
Car,34.5,7,540.0,Non-Vegetarian,Sometimes,15.2,Often,1-2,7.7705
Train,30.7,6,559.0,Mixed,Sometimes,11.9,Never,1-2,5.4917
Bicycle,6.7,4,275.0,Mixed,Often,3.9,Sometimes,3-5,3.9934
Electric Vehicle,31.8,5,447.0,Mixed,Sometimes,13.5,Sometimes,3-5,5.3978
Train,19.8,5,352.0,Vegetarian,Rarely,4.5,Sometimes,6+,4.8849
Bus,13.7,6,51.0,Non-Vegetarian,Often,1.4,Sometimes,0,2.8872
Train,36.1,7,566.0,Non-Vegetarian,Rarely,10.2,Sometimes,0,5.3191
Car,28.0,4,236.0,Non-Vegetarian,Sometimes,6.2,Sometimes,1-2,4.3702
Train,12.0,5,415.0,Non-Vegetarian,Sometimes,9.3,Sometimes,0,4.556
Motorcycle,27.7,7,195.0,Mixed,Sometimes,16.9,Sometimes,3-5,4.4716
Bus,27.3,3,235.0,Non-Vegetarian,Sometimes,19.1,Often,3-5,4.4209
Electric Vehicle,41.5,4,214.0,Vegetarian,Sometimes,12.3,Sometimes,6+,5.1472
Train,7.1,5,404.0,Non-Vegetarian,Often,15.6,Often,0,4.3893
Train,28.7,6,123.0,Non-Vegetarian,Sometimes,19.3,Sometimes,0,2.8467
Car,25.3,6,220.0,Non-Vegetarian,Sometimes,13.3,Sometimes,1-2,4.907
Car,32.5,5,242.0,Vegan,Often,15.2,Often,3-5,4.8277
Bus,25.1,6,249.0,Non-Vegetarian,Sometimes,8.6,Never,3-5,4.3312
Train,7.3,4,276.0,Non-Vegetarian,Sometimes,13.4,Often,0,3.4265
Car,6.4,3,188.0,Mixed,Often,9.4,Often,0,3.1627
Bus,32.9,4,586.0,Vegetarian,Sometimes,7.1,Sometimes,0,4.9932
Bicycle,4.2,4,255.0,Mixed,Rarely,9.8,Never,3-5,3.6872
Car,55.8,3,467.0,Non-Vegetarian,Rarely,8.3,Sometimes,1-2,6.3498
Bus,21.1,6,435.0,Vegetarian,Sometimes,7.0,Never,6+,6.487
Motorcycle,65.8,4,416.0,Mixed,Often,9.1,Sometimes,0,6.046
Electric Vehicle,64.3,6,600.0,Non-Vegetarian,Sometimes,7.8,Sometimes,1-2,6.2238
Car,45.4,5,478.0,Mixed,Sometimes,7.6,Never,0,6.5132
Car,25.4,3,382.0,Mixed,Sometimes,10.4,Sometimes,1-2,4.2742
Electric Vehicle,28.5,7,278.0,Mixed,Often,19.1,Sometimes,6+,6.3115
Car,62.6,3,415.0,Mixed,Sometimes,5.3,Sometimes,1-2,6.1033
Car,66.8,7,146.0,Mixed,Rarely,19.8,Sometimes,3-5,7.39
Bus,24.9,5,439.0,Mixed,Rarely,10.6,Often,0,4.5344
Electric Vehicle,55.4,4,488.0,Vegetarian,Sometimes,13.5,Sometimes,0,4.5157
Motorcycle,74.2,7,319.0,Non-Vegetarian,Sometimes,19.6,Often,3-5,7.8262
Bicycle,2.9,4,396.0,Non-Vegetarian,Often,14.3,Never,1-2,4.7344
Car,26.5,3,110.0,Vegetarian,Often,11.1,Often,6+,4.5565
Electric Vehicle,19.1,3,428.0,Vegetarian,Sometimes,16.7,Often,0,3.8222
Train,19.4,6,332.0,Mixed,Sometimes,18.1,Often,6+,5.6127
Car,76.0,5,414.0,Non-Vegetarian,Sometimes,6.1,Never,0,8.6082
Car,17.7,4,551.0,Vegan,Rarely,10.2,Often,6+,6.153
Bicycle,0.6,5,414.0,Non-Vegetarian,Rarely,11.3,Often,0,4.082
Bicycle,3.3,5,282.0,Non-Vegetarian,Often,13.1,Never,0,4.0856
Bus,22.1,7,77.0,Non-Vegetarian,Sometimes,16.5,Sometimes,0,3.3464
Electric Vehicle,17.1,5,410.0,Mixed,Sometimes,9.2,Sometimes,1-2,4.3532
Bicycle,5.6,3,385.0,Vegan,Often,5.8,Often,0,3.0104
Bus,29.3,6,405.0,Non-Vegetarian,Rarely,16.5,Often,3-5,5.335
Car,10.2,5,357.0,Vegetarian,Sometimes,11.4,Sometimes,1-2,3.7478
Car,25.8,3,578.0,Mixed,Rarely,5.7,Often,3-5,6.115
Car,64.7,4,146.0,Non-Vegetarian,Sometimes,15.4,Sometimes,1-2,5.4126
Motorcycle,25.7,3,128.0,Mixed,Sometimes,4.8,Often,1-2,2.8049
Car,67.9,3,52.0,Non-Vegetarian,Sometimes,16.3,Often,1-2,4.0712
Car,24.0,7,170.0,Non-Vegetarian,Sometimes,1.5,Never,0,4.7662
Car,73.3,4,154.0,Non-Vegetarian,Sometimes,19.1,Sometimes,1-2,6.2898
Bus,37.5,5,494.0,Mixed,Sometimes,10.4,Sometimes,3-5,5.9527
Car,42.5,3,541.0,Non-Vegetarian,Rarely,18.3,Often,0,5.9346
Car,34.4,7,495.0,Mixed,Sometimes,12.2,Sometimes,1-2,6.8516
Bus,31.3,6,302.0,Mixed,Sometimes,2.2,Sometimes,0,3.9759
Car,76.6,7,489.0,Non-Vegetarian,Sometimes,17.0,Often,1-2,9.9388
Car,18.3,7,485.0,Mixed,Sometimes,9.6,Often,6+,7.5156
Electric Vehicle,24.8,5,114.0,Vegan,Sometimes,18.0,Often,1-2,1.9854
Bicycle,2.1,2,348.0,Mixed,Sometimes,17.3,Often,0,3.0306
Car,49.6,7,540.0,Non-Vegetarian,Sometimes,17.9,Often,1-2,8.8811
Bus,39.7,6,266.0,Mixed,Sometimes,13.8,Sometimes,0,4.3555
Car,47.4,6,133.0,Non-Vegetarian,Sometimes,6.6,Sometimes,6+,7.1609
Bus,25.5,5,576.0,Non-Vegetarian,Often,15.1,Never,1-2,6.1046
Bicycle,6.0,3,557.0,Mixed,Sometimes,8.7,Sometimes,0,4.3977
Car,62.6,6,536.0,Mixed,Sometimes,8.1,Never,1-2,8.8556
Bus,36.0,6,129.0,Non-Vegetarian,Sometimes,4.5,Often,3-5,4.0304
Car,76.0,4,594.0,Vegetarian,Sometimes,9.0,Never,3-5,8.5179
Motorcycle,77.5,4,208.0,Vegetarian,Rarely,18.9,Sometimes,3-5,5.0062
Car,26.0,3,483.0,Mixed,Often,16.9,Often,0,5.6577
Electric Vehicle,24.4,4,424.0,Vegan,Sometimes,13.4,Never,1-2,4.0092
Car,27.9,4,328.0,Non-Vegetarian,Sometimes,1.9,Often,3-5,5.2934
Car,44.8,7,235.0,Non-Vegetarian,Often,7.5,Never,6+,8.2046
Bus,3.4,4,249.0,Mixed,Often,11.1,Never,0,3.1275
Bus,31.1,5,584.0,Non-Vegetarian,Often,10.1,Often,6+,7.7239
Bus,17.7,4,73.0,Mixed,Often,4.2,Sometimes,0,2.3613
Bus,36.4,3,392.0,Mixed,Sometimes,8.6,Sometimes,0,4.0192
Car,65.8,7,338.0,Non-Vegetarian,Often,10.9,Sometimes,3-5,9.1869
Car,65.1,5,362.0,Mixed,Rarely,16.5,Sometimes,1-2,6.8224
Motorcycle,22.6,4,348.0,Non-Vegetarian,Sometimes,1.4,Never,0,4.3637
Bus,14.6,3,133.0,Vegan,Sometimes,14.9,Often,0,1.7555
Car,76.0,3,269.0,Non-Vegetarian,Sometimes,13.5,Often,0,5.3604
Electric Vehicle,35.4,4,531.0,Non-Vegetarian,Sometimes,15.8,Sometimes,1-2,5.5444
Car,66.9,4,527.0,Non-Vegetarian,Sometimes,18.3,Sometimes,3-5,8.0639
Electric Vehicle,65.4,4,57.0,Mixed,Sometimes,10.4,Often,1-2,2.7667
Train,18.8,3,525.0,Non-Vegetarian,Often,3.9,Never,1-2,5.8183
Car,54.8,5,325.0,Vegetarian,Sometimes,1.1,Sometimes,3-5,5.9236
Electric Vehicle,78.2,4,65.0,Vegetarian,Rarely,3.5,Never,1-2,2.3278
Bus,29.7,4,181.0,Mixed,Often,9.5,Never,0,3.3694
Bus,15.6,4,376.0,Vegetarian,Sometimes,18.8,Often,6+,5.4537
Electric Vehicle,10.8,4,491.0,Non-Vegetarian,Rarely,12.4,Often,6+,6.0
Bus,28.8,3,597.0,Mixed,Often,6.7,Often,3-5,6.358
Train,8.9,4,240.0,Vegetarian,Often,5.5,Never,0,2.3314
Walking,4.0,5,180.0,Mixed,Sometimes,16.0,Sometimes,3-5,3.1768
Car,19.3,5,159.0,Mixed,Often,12.8,Sometimes,1-2,3.6154
Motorcycle,13.3,6,464.0,Mixed,Sometimes,10.9,Often,0,4.2782
Car,73.7,3,470.0,Non-Vegetarian,Often,13.3,Often,0,6.402
Electric Vehicle,52.0,3,362.0,Vegan,Rarely,14.3,Sometimes,1-2,3.6269
Car,70.9,6,260.0,Mixed,Sometimes,3.6,Sometimes,1-2,7.5791
Walking,2.2,6,468.0,Mixed,Sometimes,16.8,Often,6+,6.0842
Train,8.5,4,110.0,Mixed,Often,4.5,Never,0,2.4918
Electric Vehicle,36.6,3,533.0,Non-Vegetarian,Sometimes,3.4,Often,0,5.2037
Electric Vehicle,50.8,5,297.0,Non-Vegetarian,Rarely,11.2,Sometimes,3-5,4.9216
Train,28.3,6,483.0,Mixed,Rarely,7.7,Often,0,3.9662
Car,37.3,4,458.0,Non-Vegetarian,Often,8.7,Never,3-5,7.4009
Bus,29.0,3,288.0,Mixed,Sometimes,17.4,Often,0,3.7883
Bus,21.1,5,225.0,Non-Vegetarian,Rarely,18.5,Never,0,3.6449
Car,57.9,3,454.0,Non-Vegetarian,Sometimes,17.4,Often,0,6.4611
Car,76.7,7,270.0,Vegan,Sometimes,5.0,Often,1-2,8.3049
Car,43.5,7,432.0,Non-Vegetarian,Rarely,16.7,Often,0,8.2699
Car,6.5,6,178.0,Non-Vegetarian,Sometimes,16.9,Sometimes,0,3.452
Electric Vehicle,16.4,6,563.0,Vegan,Sometimes,8.1,Often,1-2,4.6252
Car,22.3,3,228.0,Vegetarian,Rarely,5.7,Never,0,3.1518
Motorcycle,31.7,7,523.0,Vegetarian,Sometimes,19.4,Often,1-2,5.7663
Car,16.4,5,570.0,Non-Vegetarian,Rarely,12.3,Never,3-5,6.7768
Car,65.1,3,568.0,Mixed,Rarely,2.7,Sometimes,6+,8.2343
Electric Vehicle,30.9,3,242.0,Mixed,Sometimes,6.9,Often,6+,5.3678
Electric Vehicle,13.3,6,522.0,Non-Vegetarian,Sometimes,3.3,Often,1-2,5.13
Car,76.9,4,589.0,Non-Vegetarian,Rarely,15.9,Never,1-2,8.7174
Train,22.8,5,540.0,Mixed,Sometimes,3.5,Often,0,4.5558
Bus,5.7,3,209.0,Vegetarian,Sometimes,13.5,Sometimes,0,2.3461
Bus,5.9,4,427.0,Non-Vegetarian,Sometimes,18.3,Sometimes,3-5,5.0652
Train,7.0,3,554.0,Mixed,Sometimes,2.8,Never,0,4.8246
Bus,23.6,7,377.0,Vegan,Often,18.0,Often,0,4.2348
Car,44.2,6,582.0,Non-Vegetarian,Sometimes,7.7,Sometimes,1-2,8.9153
Car,31.3,3,413.0,Non-Vegetarian,Often,15.4,Sometimes,0,5.3643
Bus,22.4,3,314.0,Vegetarian,Sometimes,16.7,Often,6+,5.5428
Electric Vehicle,38.6,4,302.0,Non-Vegetarian,Sometimes,9.9,Sometimes,3-5,5.0208
Walking,7.7,3,77.0,Non-Vegetarian,Sometimes,17.8,Often,1-2,2.7462
Train,15.8,5,384.0,Non-Vegetarian,Sometimes,2.5,Sometimes,0,4.0673
Car,37.6,7,333.0,Non-Vegetarian,Sometimes,17.5,Sometimes,1-2,7.1059
Motorcycle,8.4,7,488.0,Mixed,Sometimes,6.8,Often,0,4.6563
Car,51.9,6,165.0,Mixed,Rarely,1.6,Sometimes,3-5,5.8479
Walking,2.3,5,437.0,Non-Vegetarian,Sometimes,13.9,Never,1-2,4.9796
Bus,7.0,4,512.0,Vegetarian,Sometimes,10.1,Never,3-5,5.2001
Car,33.1,5,235.0,Vegan,Rarely,7.5,Sometimes,0,3.8914
Electric Vehicle,59.0,7,372.0,Non-Vegetarian,Sometimes,17.1,Sometimes,1-2,5.2286
Car,12.3,4,57.0,Mixed,Often,5.7,Sometimes,1-2,2.7173
Car,48.5,5,173.0,Vegetarian,Sometimes,18.8,Often,1-2,4.9927
Bus,24.0,6,223.0,Non-Vegetarian,Often,3.9,Often,1-2,4.3093
Motorcycle,44.1,6,136.0,Non-Vegetarian,Sometimes,7.2,Sometimes,0,4.2105
Car,76.5,3,255.0,Mixed,Sometimes,17.1,Often,0,5.3193
Car,32.7,7,455.0,Mixed,Rarely,10.8,Often,3-5,6.1816
Car,36.0,6,74.0,Non-Vegetarian,Rarely,4.4,Sometimes,1-2,4.4232
Bus,31.5,6,399.0,Vegan,Sometimes,16.2,Sometimes,0,3.8625
Electric Vehicle,65.8,5,217.0,Vegetarian,Rarely,16.2,Sometimes,1-2,3.5594
Car,45.8,6,155.0,Vegetarian,Often,5.5,Never,0,4.8641
Electric Vehicle,13.2,7,67.0,Vegetarian,Sometimes,13.0,Often,6+,3.7773
Walking,5.0,3,418.0,Non-Vegetarian,Sometimes,1.5,Sometimes,3-5,5.1016
Electric Vehicle,14.3,3,498.0,Mixed,Sometimes,14.9,Often,0,4.5946
Train,25.2,5,449.0,Non-Vegetarian,Sometimes,15.8,Sometimes,6+,6.8221
Car,61.7,7,107.0,Mixed,Often,11.7,Never,0,6.921
Electric Vehicle,74.1,4,136.0,Non-Vegetarian,Sometimes,12.2,Never,0,3.7752
Car,60.9,3,494.0,Mixed,Sometimes,6.6,Often,1-2,6.347
Car,6.6,3,194.0,Mixed,Often,8.4,Sometimes,0,3.0426
Train,20.5,5,485.0,Non-Vegetarian,Sometimes,5.2,Often,6+,6.3485
Car,51.4,7,387.0,Mixed,Sometimes,12.5,Sometimes,1-2,7.493
